Driver ID,Driver First Name,Driver Last Name,Permanent Number,Driver Code,Date of Birth,Nationality,year
hulkenberg,Nico,Hülkenberg,27,HUL,1987-08-19,German,2020
kvyat,Daniil,Kvyat,26,KVY,1994-04-26,Russian,2020
latifi,Nicholas,Latifi,6,LAT,1995-06-29,Canadian,2020
leclerc,Charles,Leclerc,16,LEC,1997-10-16,Monegasque,2020
kevin_magnussen,Kevin,Magnussen,20,MAG,1992-10-05,Danish,2020
norris,Lando,Norris,4,NOR,1999-11-13,British,2020
ocon,Esteban,Ocon,31,OCO,1996-09-17,French,2020
perez,Sergio,Pérez,11,PER,1990-01-26,Mexican,2020
raikkonen,Kimi,Räikkönen,7,RAI,1979-10-17,Finnish,2020
ricciardo,Daniel,Ricciardo,3,RIC,1989-07-01,Australian,2020
russell,George,Russell,63,RUS,1998-02-15,British,2020
sainz,Carlos,Sainz,55,SAI,1994-09-01,Spanish,2020
stroll,Lance,Stroll,18,STR,1998-10-29,Canadian,2020
max_verstappen,Max,Verstappen,33,VER,1997-09-30,Dutch,2020
vettel,Sebastian,Vettel,5,VET,1987-07-03,German,2020
alonso,Fernando,Alonso,14,ALO,1981-07-29,Spanish,2021
bottas,Valtteri,Bottas,77,BOT,1989-08-28,Finnish,2021
gasly,Pierre,Gasly,10,GAS,1996-02-07,French,2021
giovinazzi,Antonio,Giovinazzi,99,GIO,1993-12-14,Italian,2021
hamilton,Lewis,Hamilton,44,HAM,1985-01-07,British,2021
kubica,Robert,Kubica,88,KUB,1984-12-07,Polish,2021
latifi,Nicholas,Latifi,6,LAT,1995-06-29,Canadian,2021
leclerc,Charles,Leclerc,16,LEC,1997-10-16,Monegasque,2021
mazepin,Nikita,Mazepin,9,MAZ,1999-03-02,Russian,2021
norris,Lando,Norris,4,NOR,1999-11-13,British,2021
ocon,Esteban,Ocon,31,OCO,1996-09-17,French,2021
perez,Sergio,Pérez,11,PER,1990-01-26,Mexican,2021
raikkonen,Kimi,Räikkönen,7,RAI,1979-10-17,Finnish,2021
ricciardo,Daniel,Ricciardo,3,RIC,1989-07-01,Australian,2021
russell,George,Russell,63,RUS,1998-02-15,British,2021
sainz,Carlos,Sainz,55,SAI,1994-09-01,Spanish,2021
mick_schumacher,Mick,Schumacher,47,MSC,1999-03-22,German,2021
stroll,Lance,Stroll,18,STR,1998-10-29,Canadian,2021
tsunoda,Yuki,Tsunoda,22,TSU,2000-05-11,Japanese,2021
max_verstappen,Max,Verstappen,33,VER,1997-09-30,Dutch,2021
vettel,Sebastian,Vettel,5,VET,1987-07-03,German,2021
albon,Alexander,Albon,23,ALB,1996-03-23,Thai,2022
alonso,Fernando,Alonso,14,ALO,1981-07-29,Spanish,2022
bottas,Valtteri,Bottas,77,BOT,1989-08-28,Finnish,2022
de_vries,Nyck,de Vries,21,DEV,1995-02-06,Dutch,2022
gasly,Pierre,Gasly,10,GAS,1996-02-07,French,2022
hamilton,Lewis,Hamilton,44,HAM,1985-01-07,British,2022
hulkenberg,Nico,Hülkenberg,27,HUL,1987-08-19,German,2022
latifi,Nicholas,Latifi,6,LAT,1995-06-29,Canadian,2022
leclerc,Charles,Leclerc,16,LEC,1997-10-16,Monegasque,2022
kevin_magnussen,Kevin,Magnussen,20,MAG,1992-10-05,Danish,2022
norris,Lando,Norris,4,NOR,1999-11-13,British,2022
ocon,Esteban,Ocon,31,OCO,1996-09-17,French,2022
perez,Sergio,Pérez,11,PER,1990-01-26,Mexican,2022
ricciardo,Daniel,Ricciardo,3,RIC,1989-07-01,Australian,2022
russell,George,Russell,63,RUS,1998-02-15,British,2022
sainz,Carlos,Sainz,55,SAI,1994-09-01,Spanish,2022
mick_schumacher,Mick,Schumacher,47,MSC,1999-03-22,German,2022
stroll,Lance,Stroll,18,STR,1998-10-29,Canadian,2022
tsunoda,Yuki,Tsunoda,22,TSU,2000-05-11,Japanese,2022
max_verstappen,Max,Verstappen,33,VER,1997-09-30,Dutch,2022
vettel,Sebastian,Vettel,5,VET,1987-07-03,German,2022
zhou,Guanyu,Zhou,24,ZHO,1999-05-30,Chinese,2022
albon,Alexander,Albon,23,ALB,1996-03-23,Thai,2023
alonso,Fernando,Alonso,14,ALO,1981-07-29,Spanish,2023
bottas,Valtteri,Bottas,77,BOT,1989-08-28,Finnish,2023
de_vries,Nyck,de Vries,21,DEV,1995-02-06,Dutch,2023
gasly,Pierre,Gasly,10,GAS,1996-02-07,French,2023
hamilton,Lewis,Hamilton,44,HAM,1985-01-07,British,2023
hulkenberg,Nico,Hülkenberg,27,HUL,1987-08-19,German,2023
lawson,Liam,Lawson,30,LAW,2002-02-11,New Zealander,2023
leclerc,Charles,Leclerc,16,LEC,1997-10-16,Monegasque,2023
kevin_magnussen,Kevin,Magnussen,20,MAG,1992-10-05,Danish,2023
norris,Lando,Norris,4,NOR,1999-11-13,British,2023
ocon,Esteban,Ocon,31,OCO,1996-09-17,French,2023
perez,Sergio,Pérez,11,PER,1990-01-26,Mexican,2023
piastri,Oscar,Piastri,81,PIA,2001-04-06,Australian,2023
ricciardo,Daniel,Ricciardo,3,RIC,1989-07-01,Australian,2023
russell,George,Russell,63,RUS,1998-02-15,British,2023
sainz,Carlos,Sainz,55,SAI,1994-09-01,Spanish,2023
sargeant,Logan,Sargeant,2,SAR,2000-12-31,American,2023
stroll,Lance,Stroll,18,STR,1998-10-29,Canadian,2023
tsunoda,Yuki,Tsunoda,22,TSU,2000-05-11,Japanese,2023
max_verstappen,Max,Verstappen,33,VER,1997-09-30,Dutch,2023
zhou,Guanyu,Zhou,24,ZHO,1999-05-30,Chinese,2023
