Round,Race Name,Circuit ID,Circuit Name,Locality,Country,Latitude,Longitude,Date,Time,year
2,Styrian Grand Prix,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,2020-07-12,13:10:00Z,2020
3,Hungarian Grand Prix,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,2020-07-19,13:10:00Z,2020
4,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2020-08-02,13:10:00Z,2020
5,70th Anniversary Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2020-08-09,13:10:00Z,2020
6,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,2020-08-16,13:10:00Z,2020
7,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2020-08-30,13:10:00Z,2020
8,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2020-09-06,13:10:00Z,2020
9,Tuscan Grand Prix,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,2020-09-13,13:10:00Z,2020
10,Russian Grand Prix,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2020-09-27,11:10:00Z,2020
11,Eifel Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,2020-10-11,13:10:00Z,2020
12,Portuguese Grand Prix,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,2020-10-25,12:10:00Z,2020
13,Emilia Romagna Grand Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,2020-11-01,12:10:00Z,2020
14,Turkish Grand Prix,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,2020-11-15,10:10:00Z,2020
15,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2020-11-29,14:10:00Z,2020
16,Sakhir Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2020-12-06,17:10:00Z,2020
17,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,2020-12-13,13:10:00Z,2020
1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2021-03-28,15:00:00Z,2021
2,Emilia Romagna Grand Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,2021-04-18,13:00:00Z,2021
3,Portuguese Grand Prix,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,2021-05-02,14:00:00Z,2021
4,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,2021-05-09,13:00:00Z,2021
5,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,2021-05-23,13:00:00Z,2021
6,Azerbaijan Grand Prix,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,2021-06-06,12:00:00Z,2021
7,French Grand Prix,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,2021-06-20,13:00:00Z,2021
8,Styrian Grand Prix,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,2021-06-27,13:00:00Z,2021
9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,2021-07-04,13:00:00Z,2021
10,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2021-07-18,14:00:00Z,2021
11,Hungarian Grand Prix,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,2021-08-01,13:00:00Z,2021
12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2021-08-29,13:00:00Z,2021
13,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,2021-09-05,13:00:00Z,2021
14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2021-09-12,13:00:00Z,2021
15,Russian Grand Prix,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2021-09-26,12:00:00Z,2021
16,Turkish Grand Prix,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,2021-10-10,12:00:00Z,2021
17,United States Grand Prix,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,2021-10-24,19:00:00Z,2021
18,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2021-11-07,19:00:00Z,2021
19,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,2021-11-14,17:00:00Z,2021
20,Qatar Grand Prix,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,2021-11-21,14:00:00Z,2021
21,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,2021-12-05,17:30:00Z,2021
22,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,2021-12-12,13:00:00Z,2021
1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2022-03-20,15:00:00Z,2022
2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,2022-03-27,17:00:00Z,2022
3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2022-04-10,05:00:00Z,2022
4,Emilia Romagna Grand Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,2022-04-24,13:00:00Z,2022
5,Miami Grand Prix,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,2022-05-08,19:30:00Z,2022
6,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,2022-05-22,13:00:00Z,2022
7,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,2022-05-29,13:00:00Z,2022
8,Azerbaijan Grand Prix,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,2022-06-12,11:00:00Z,2022
9,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2022-06-19,18:00:00Z,2022
10,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2022-07-03,14:00:00Z,2022
11,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,2022-07-10,13:00:00Z,2022
12,French Grand Prix,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,2022-07-24,13:00:00Z,2022
13,Hungarian Grand Prix,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,2022-07-31,13:00:00Z,2022
14,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2022-08-28,13:00:00Z,2022
15,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,2022-09-04,13:00:00Z,2022
16,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2022-09-11,13:00:00Z,2022
17,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,2022-10-02,12:00:00Z,2022
18,Japanese Grand Prix,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2022-10-09,05:00:00Z,2022
19,United States Grand Prix,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,2022-10-23,19:00:00Z,2022
20,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2022-10-30,20:00:00Z,2022
21,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,2022-11-13,18:00:00Z,2022
22,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,2022-11-20,13:00:00Z,2022
1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2023-03-05,15:00:00Z,2023
2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,2023-03-19,17:00:00Z,2023
3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2023-04-02,05:00:00Z,2023
4,Azerbaijan Grand Prix,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,2023-04-30,11:00:00Z,2023
5,Miami Grand Prix,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,2023-05-07,19:30:00Z,2023
6,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,2023-05-28,13:00:00Z,2023
7,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,2023-06-04,13:00:00Z,2023
8,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2023-06-18,18:00:00Z,2023
9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,2023-07-02,13:00:00Z,2023
10,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2023-07-09,14:00:00Z,2023
11,Hungarian Grand Prix,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,2023-07-23,13:00:00Z,2023
12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2023-07-30,13:00:00Z,2023
13,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,2023-08-27,13:00:00Z,2023
14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2023-09-03,13:00:00Z,2023
15,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,2023-09-17,12:00:00Z,2023
16,Japanese Grand Prix,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2023-09-24,05:00:00Z,2023
17,Qatar Grand Prix,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,2023-10-08,17:00:00Z,2023
18,United States Grand Prix,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,2023-10-22,19:00:00Z,2023
19,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2023-10-29,20:00:00Z,2023
20,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,2023-11-05,17:00:00Z,2023
21,Las Vegas Grand Prix,vegas,Las Vegas Strip Street Circuit,Las Vegas,United States,36.1147,-115.173,2023-11-19,06:00:00Z,2023
22,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,2023-11-26,13:00:00Z,2023
